STATION,DATE,HourlyDryBulbTemperature
72365623049,7/30/21 23:59,
72365623049,7/31/21 0:53,62
72365623049,7/31/21 1:53,60
72365623049,7/31/21 2:53,61
72365623049,7/31/21 3:53,58
72365623049,7/31/21 4:53,59
72365623049,7/31/21 5:53,60
72365623049,7/31/21 6:53,65
72365623049,7/31/21 7:53,72
72365623049,7/31/21 8:53,75
72365623049,7/31/21 9:53,79
72365623049,7/31/21 10:53,82
72365623049,7/31/21 11:53,85
72365623049,7/31/21 12:51,88
72365623049,7/31/21 12:53,88
72365623049,7/31/21 13:15,83
72365623049,7/31/21 13:45,71
72365623049,7/31/21 13:53,72
72365623049,7/31/21 14:10,69
72365623049,7/31/21 14:53,68
72365623049,7/31/21 15:13,67
72365623049,7/31/21 15:26,65
72365623049,7/31/21 15:53,67
72365623049,7/31/21 16:53,70
72365623049,7/31/21 17:53,69
72365623049,7/31/21 18:53,67
72365623049,7/31/21 19:53,67
72365623049,7/31/21 20:53,63
72365623049,7/31/21 21:53,61
72365623049,7/31/21 22:53,61
72365623049,7/31/21 23:53,60
72365623049,7/31/21 23:59,
72365623049,7/31/21 23:59,
72365623049,8/1/21 0:53,60
72365623049,8/1/21 1:53,62
72365623049,8/1/21 2:53,61
72365623049,8/1/21 3:53,61
72365623049,8/1/21 4:53,62
72365623049,8/1/21 5:53,61
72365623049,8/1/21 6:53,62
72365623049,8/1/21 7:53,66
72365623049,8/1/21 8:53,66
72365623049,8/1/21 9:53,68
72365623049,8/1/21 10:53,70
72365623049,8/1/21 11:53,73
72365623049,8/1/21 12:53,75
72365623049,8/1/21 13:53,79
72365623049,8/1/21 14:53,78
72365623049,8/1/21 15:53,76
72365623049,8/1/21 16:53,76
72365623049,8/1/21 17:53,72
72365623049,8/1/21 18:53,69
72365623049,8/1/21 19:53,66
72365623049,8/1/21 20:53,65
72365623049,8/1/21 21:53,64
72365623049,8/1/21 22:53,63
72365623049,8/1/21 23:53,62
72365623049,8/1/21 23:59,
72365623049,8/2/21 0:53,62
72365623049,8/2/21 1:53,62
72365623049,8/2/21 2:53,61
72365623049,8/2/21 3:53,61
72365623049,8/2/21 4:53,60
72365623049,8/2/21 5:53,61
72365623049,8/2/21 6:53,62
72365623049,8/2/21 7:53,63
72365623049,8/2/21 8:53,65
72365623049,8/2/21 9:53,69
72365623049,8/2/21 10:53,72
72365623049,8/2/21 11:53,75
72365623049,8/2/21 12:53,77
72365623049,8/2/21 13:53,80
72365623049,8/2/21 14:53,80
