"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-09","33","20","23"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-10","45","19","26"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-11","46","24","37"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-12","40","19","28"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-13","32","25","29"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-14","33","25","26"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-15","46","25","27"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-16","47","16","26"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-17","50","18","29"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-18","50","18","30"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-19","55","22","36"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-20","51","26","36"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-21","37","27",
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-22","30","14","17"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-23","34","10","20"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-24","42","15","36"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-25","51","16","34"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-26","60","20","35"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-27","51","25","38"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-28","54","30","39"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-29","46","33","35"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-30","36","26","30"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-01-31","33","26","31"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-01","41","16","30"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-02","46","17","35"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-03",,,
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2015-02-04","55","21","36"
