STATION,DATE,REPORT_TYPE,SOURCE,HourlyDryBulbTemperature
72365623049,2014-09-07T10:53:00,FM-15,7,72
72365623049,2014-09-07T11:53:00,FM-15,7,73
72365623049,2014-09-07T12:53:00,FM-15,7,76
72365623049,2014-09-07T13:53:00,FM-15,7,78
72365623049,2014-09-07T14:53:00,FM-15,7,79
72365623049,2014-09-07T15:53:00,FM-15,7,80
72365623049,2014-09-07T16:53:00,FM-15,7,79
72365623049,2014-09-07T17:53:00,FM-15,7,78
72365623049,2014-09-07T18:53:00,FM-15,7,73
72365623049,2014-09-07T19:53:00,FM-15,7,71
72365623049,2014-09-07T20:53:00,FM-15,7,69
72365623049,2014-09-07T21:53:00,FM-15,7,67
72365623049,2014-09-07T22:53:00,FM-15,7,61
72365623049,2014-09-07T23:53:00,FM-15,7,62
72365623049,2014-09-07T23:59:00,SOD  ,6,
72365623049,2014-09-08T00:53:00,FM-15,7,61
72365623049,2014-09-08T01:53:00,FM-15,7,61
72365623049,2014-09-08T02:53:00,FM-15,7,60
72365623049,2014-09-08T03:53:00,FM-15,7,60
72365623049,2014-09-08T04:53:00,FM-15,7,59
72365623049,2014-09-08T05:53:00,FM-15,7,58
72365623049,2014-09-08T06:51:00,FM-16,6,59
72365623049,2014-09-08T06:53:00,FM-15,7,59
72365623049,2014-09-08T07:53:00,FM-15,7,61
72365623049,2014-09-08T08:36:00,FM-16,7,65
72365623049,2014-09-08T08:53:00,FM-15,7,68
72365623049,2014-09-08T09:22:00,FM-16,7,68
72365623049,2014-09-08T09:53:00,FM-15,7,70
72365623049,2014-09-08T10:53:00,FM-15,7,73
72365623049,2014-09-08T11:53:00,FM-15,7,77
72365623049,2014-09-08T12:53:00,FM-15,7,80
72365623049,2014-09-08T13:53:00,FM-15,7,81
72365623049,2014-09-08T14:53:00,FM-15,7,82
72365623049,2014-09-08T15:53:00,FM-15,7,80
72365623049,2014-09-08T16:53:00,FM-15,7,78
72365623049,2014-09-08T17:53:00,FM-15,7,77
72365623049,2014-09-08T18:53:00,FM-15,7,72
72365623049,2014-09-08T19:53:00,FM-15,7,70
72365623049,2014-09-08T20:53:00,FM-15,7,71
72365623049,2014-09-08T21:53:00,FM-15,7,70
72365623049,2014-09-08T22:53:00,FM-15,7,67
72365623049,2014-09-08T23:53:00,FM-15,7,66
72365623049,2014-09-08T23:59:00,SOD  ,6,
72365623049,2014-09-09T00:53:00,FM-15,7,64
72365623049,2014-09-09T01:53:00,FM-15,7,64
72365623049,2014-09-09T02:53:00,FM-15,7,64
72365623049,2014-09-09T03:53:00,FM-15,7,63
72365623049,2014-09-09T04:53:00,FM-15,7,63
72365623049,2014-09-09T05:53:00,FM-15,7,63
72365623049,2014-09-09T06:53:00,FM-15,7,64
72365623049,2014-09-09T07:53:00,FM-15,7,67
72365623049,2014-09-09T08:53:00,FM-15,7,71
72365623049,2014-09-09T09:53:00,FM-15,7,75
72365623049,2014-09-09T10:53:00,FM-15,7,78
72365623049,2014-09-09T11:53:00,FM-15,7,81
72365623049,2014-09-09T12:53:00,FM-15,7,82
72365623049,2014-09-09T13:53:00,FM-15,7,83
72365623049,2014-09-09T14:53:00,FM-15,7,78
72365623049,2014-09-09T15:53:00,FM-15,7,80
72365623049,2014-09-09T16:53:00,FM-15,7,79
72365623049,2014-09-09T17:53:00,FM-15,7,76
72365623049,2014-09-09T18:53:00,FM-15,7,74
72365623049,2014-09-09T19:53:00,FM-15,7,72
72365623049,2014-09-09T20:53:00,FM-15,7,66
72365623049,2014-09-09T21:53:00,FM-15,7,65
72365623049,2014-09-09T22:53:00,FM-15,7,64
72365623049,2014-09-09T23:53:00,FM-15,7,62
72365623049,2014-09-09T23:59:00,SOD  ,6,
72365623049,2014-09-10T00:53:00,FM-15,7,61
72365623049,2014-09-10T01:53:00,FM-15,7,60
72365623049,2014-09-10T02:53:00,FM-15,7,60
72365623049,2014-09-10T03:53:00,FM-15,7,58
72365623049,2014-09-10T04:53:00,FM-15,7,60
72365623049,2014-09-10T05:53:00,FM-15,7,59
72365623049,2014-09-10T06:53:00,FM-15,7,63
72365623049,2014-09-10T07:53:00,FM-15,7,66
72365623049,2014-09-10T08:53:00,FM-15,7,68
72365623049,2014-09-10T09:53:00,FM-15,7,72
72365623049,2014-09-10T10:53:00,FM-15,7,75
72365623049,2014-09-10T11:53:00,FM-15,7,75
72365623049,2014-09-10T12:53:00,FM-15,7,76
72365623049,2014-09-10T13:53:00,FM-15,7,75
72365623049,2014-09-10T14:53:00,FM-15,7,76
72365623049,2014-09-10T15:53:00,FM-15,7,79
72365623049,2014-09-10T16:53:00,FM-15,7,79
72365623049,2014-09-10T17:53:00,FM-15,7,75
72365623049,2014-09-10T18:53:00,FM-15,7,71
72365623049,2014-09-10T19:53:00,FM-15,7,67
72365623049,2014-09-10T20:53:00,FM-15,7,65
72365623049,2014-09-10T21:53:00,FM-15,7,60
72365623049,2014-09-10T22:53:00,FM-15,7,64
72365623049,2014-09-10T23:53:00,FM-15,7,63
72365623049,2014-09-10T23:59:00,SOD  ,6,
72365623049,2014-09-11T00:53:00,FM-15,7,61
72365623049,2014-09-11T01:51:00,FM-16,6,61
72365623049,2014-09-11T01:53:00,FM-15,7,59
72365623049,2014-09-11T02:23:00,FM-16,7,57
72365623049,2014-09-11T02:31:00,FM-16,7,57
72365623049,2014-09-11T02:43:00,FM-16,7,58
72365623049,2014-09-11T02:53:00,FM-15,7,58
72365623049,2014-09-11T03:53:00,FM-15,7,56
72365623049,2014-09-11T04:07:00,FM-16,7,59
72365623049,2014-09-11T04:40:00,FM-16,7,58
72365623049,2014-09-11T04:53:00,FM-15,7,56
72365623049,2014-09-11T05:07:00,FM-16,7,57
72365623049,2014-09-11T05:51:00,FM-16,6,57
72365623049,2014-09-11T05:53:00,FM-15,7,57
72365623049,2014-09-11T06:53:00,FM-15,7,59
72365623049,2014-09-11T07:53:00,FM-15,7,65
72365623049,2014-09-11T08:53:00,FM-15,7,67
72365623049,2014-09-11T09:53:00,FM-15,7,71
72365623049,2014-09-11T10:53:00,FM-15,7,73
72365623049,2014-09-11T11:53:00,FM-15,7,76
72365623049,2014-09-11T12:53:00,FM-15,7,78
72365623049,2014-09-11T13:53:00,FM-15,7,82
72365623049,2014-09-11T14:53:00,FM-15,7,82
72365623049,2014-09-11T15:53:00,FM-15,7,81
72365623049,2014-09-11T16:53:00,FM-15,7,79
72365623049,2014-09-11T17:53:00,FM-15,7,74
72365623049,2014-09-11T18:53:00,FM-15,7,67
72365623049,2014-09-11T19:53:00,FM-15,7,64
72365623049,2014-09-11T20:53:00,FM-15,7,62
72365623049,2014-09-11T21:53:00,FM-15,7,61
72365623049,2014-09-11T22:53:00,FM-15,7,60
